Temperature,x1,x2,y1,y2
°C,mol fract.,mol fract.,mol fract.,mol fract.
57.3492,0.0765365,0.554876,0.0686516,0.296231
57.4178,0.0789984,0.614825,0.0645234,0.300155
57.8198,0.0825285,0.67472,0.0591919,0.313274
58.6984,0.0869152,0.73456,0.0561567,0.335971
60.6816,0.0918914,0.794353,0.0564677,0.381892
65.3089,0.0972593,0.854112,0.0642054,0.492643
78.0757,0.10355,0.89645,0.10355,0.89645
57.4948,0.0687751,0.58522,0.060021,0.304379
57.4178,0.0789984,0.614825,0.0645234,0.300155
57.3355,0.0867598,0.584481,0.0697674,0.295285
57.4178,0.0789984,0.614825,0.0645234,0.300155
56.8784,0.121877,0.243059,0.121877,0.243059
56.901,0.129268,0.230966,0.126363,0.237751
56.9955,0.142265,0.180164,0.138151,0.220631
57.2528,0.145469,0.120294,0.1489,0.20029
57.7444,0.138862,0.0607647,0.160061,0.172906
59.3182,0.11774,0.00553916,0.184053,0.103321
61.7856,0.058834,0,0.216793,0
63.3407,0,0,0.170905,0
68.6282,0,0,0,0
58.821,0.136585,0.0299837,0.177108,0.124157
59.3182,0.11774,0.00553916,0.184053,0.103321
58.4463,0.120017,0.0363201,0.171614,0.140473
59.3182,0.11774,0.00553916,0.184053,0.103321
56.8784,0.121877,0.243059,0.121877,0.243059
56.9052,0.110492,0.255623,0.115769,0.250584
57.0932,0.0699026,0.285472,0.0882506,0.278315
57.6607,0.0203128,0.270624,0.0464339,0.310391
58.1448,0.00356242,0.215277,0.0152205,0.327116
58.4407,0.00109374,0.155334,0.00536098,0.324113
58.9215,0.000332173,0.0953393,0.00215882,0.307922
60.4393,0.0000629064,0.03534,0.000742127,0.259293
68.6282,0,0,0,0
57.9451,0.0113195,0.184935,0.0351584,0.308594
58.4407,0.00109374,0.155334,0.00536098,0.324113
58.3124,-0.00666336,0.185676,0,0.328184
58.4407,0.00109374,0.155334,0.00536098,0.324113
56.8784,0.121877,0.243059,0.121877,0.243059
56.9365,0.0813368,0.239827,0.105962,0.260901
57.0249,0.0406257,0.196077,0.0967003,0.270554
57.6083,0.0125182,0.143658,0.0613624,0.289463
58.6943,0.00347365,0.0844099,0.023977,0.291197
60.9237,0.000496496,0.0244904,0.00744983,0.237401
68.6282,0,0,0,0
57.8375,0.0168832,0.112677,0.0676358,0.271995
58.6943,0.00347365,0.0844099,0.023977,0.291197
58.9343,-0.000891357,0.115391,0,0.308958
58.6943,0.00347365,0.0844099,0.023977,0.291197
56.8784,0.121877,0.243059,0.121877,0.243059
56.9796,0.155288,0.1997,0.137062,0.222382
57.1659,0.193401,0.154152,0.146143,0.206053
57.5276,0.234885,0.110821,0.155637,0.184588
58.2208,0.280387,0.0717635,0.168108,0.150763
58.9013,0.331503,0.0405098,0.178263,0.120637
59.8052,0.386595,0.0170701,0.190725,0.0823054
60.9068,0.445564,0.00639925,0.205336,0.0356156
61.4016,0.505445,0.00277465,0.211851,0.0146531
61.5822,0.56543,0.00145861,0.214227,0.00699102
61.6555,0.625427,0.000888155,0.215191,0.00387756
61.69,0.685426,0.000600518,0.215645,0.00241226
61.7084,0.745426,0.000438007,0.215886,0.00163355
61.7191,0.805426,0.000338003,0.216027,0.00117895
61.7258,0.865426,0.000272304,0.216115,0.000893489
